1,,Kérdés,Helyes válasz,Rossz válasz,Rossz válasz,
2,,"Milyen előkészületeket kell tenni, kikötés előtt?","Kihelyezni az ütköző ballonokat, előkészíteni a kikötő köteleket.",Értesíteni a vízirendészetet az érkezésünkről.,A kikötő kötélre kötélvég nyolcast kell kötni.,
3,,Miben segít a hajócsavar forgásirányának ismerete?,Segít a manőverezésben.,Segít az előzésben.,Segíti a nagy sebességű kanyarodást.,
4,,Miben segít a hajócsavar forgásirányának ismerete?,Segíti az iránytartást.,Segít az előzésben.,Segíti a nagy sebességű kanyarodást.,
5,,"Hogyan közelíti meg kikötéskor a mólót erős, a part irányából fújó szélben?",Közel merőlegesen.,5 - 10 fokos szögben.,Csúszóra dobott horgonnyal.,
6,,Általában melyik kötél megkötésével kell kezdeni a kikötést?,Az orrkötéllel.,A farkötéllel.,Mindegy,
7,,Milyen haladási sebesség mellett a leghatásosabb az orrsugárkormány?,"Csak kis, a kikötői manőverezéseknél használt sebességeknél.",A hajó teljes sebességtartományában.,Csak nagy sebességeknél.,
8,,Kikötőben ledobott horgonyunkról a többi hajóvezető honnan szerez tudomást?,A horgonyra kötött bójáról.,"Nem kell tudniuk a ledobott horgonyról, mert nem zavarja a kikötőben közlekedőket.","Tilos bóját kötni a horgonyra, érkező, vagy induló hajót szóban kell figyelmeztetni a horgonyra, vagy a kikötőmestert kell tájékoztatni róla.",
9,,"Hogyan dönti el, hogy a kikötő használatához kellő vízmélység van-e?","Az üzemeltető szóbeli, neten/kikötői szabályzatban közzétett tájékoztatása alapján.","A kikötőkben olyan vízmélységet szoktak - ha kell kotrással - fenntartani, ami mellett a behajózás akadálytalan a kedvtelési kishajók számára.","Kétség esetén csáklyával ellenőrzöm a kikötő szája előtt a vízmélységet, és ha a merülésnél kevesebb mint egy méterrel több, akkor nem kísérlem meg a behajózást.",
10,,Idegen kikötőben veszteglés esetén a kikötő üzemeltetője visszatarthatja/elkérheti a hajólevelet?,"A hajólevelet elkérheti, és díjfizetésig visszatarthatja.","A hajólevelet elkérheti, de nem tarthatja vissza.","A hajólevelet csak megnézheti, de nem tarthatja vissza.",
11,,"Kikötőben túl szűken bevett fordulónál, a hajó fara a  partfalnak ütközik. Mi történhet külmotoros, illetve passzív kormányos hajó esetén ekkor?","Külmotoros hajónál a hajócsavar, passzív kormányos hajónál a kormánylapát sérülhet.","Külmotoros hajónál a kormánylapát, passzív kormányos hajónál a hajócsavar sérülhet.",Mindkét esetben sérül a hajócsavar.,
12,,Általában melyik kikötő kötél elengedésével kell kezdeni az elindulás manővert?,A farkötél,Az orr kötél,Mindegy,
13,,Induláskor a hajó orráról kötél esik a vízbe. Mit tesz?,Üresbe veszem az irányváltót.,Gázt adok.,"Az irányváltóval nem bajlódok, azonnal leállítom a motort.",
14,,"Külmotoros, faránál terhelt hajó ideális siklásszögének beállításához, kell e a trimmelést módosítani?","A meghajtó szárat a hajó farához közelebb kell állítani, mert így a lefelé is ható tolóerő megemeli a farát, és süllyeszti az orrát","A meghajtó szárat a fartól távolabb kell állítani, mert így a lefelé is ható tolóerő megemeli a farát, és süllyeszti az orrát","A hajótest siklásba hozásához kell csak a trimmelésen állítani, az ideális siklásszöghöz ezután már nem kell módosítani rajta",
15,,"Kell e eltérni siklásban a trimmelés megszokott, kitapasztalt mértékétől a hajó terhelésének függvényében?","Igen, mert, ha far, vagy orr nehéz a hajó, az összekötő szárat a hajó farához közelebb, vagy távolabb állítva érhető el az ideális siklási szög","Nem, mert siklásban már nem számít, a kezdeti orr, vagy farnehéz helyzet, azt nagy sebességnél a felhajtó erők kiegyensúlyozzák","Igen, mert, ha orr, vagy far nehéz a hajó, az összekötő szárat a hajó farához közelebb állítva érhető el az ideális siklási szög",
16,,Siklásban mikor ideális a hajó trimmelése?,"Ha a hajótest közel vízszintesen halad, a tolóerő hátrafelé hat.","Ha a hajótest enyhén a fara felé dől, a tolóerő kissé lefelé hat.","Ha a hajótest enyhén előre felé dől, a tolóerő enyhén felfelé hat.",
17,,"Hátramenetben manőverezve, jobbra kitérített kormány mellett, merre fordul a hajó orra?",Balra.,Jobbra.,,
18,,Kisgéphajóval nagy sebességgel haladva hogyan áll meg?,A géperőt fokozatosan veszem le.,Késlekedés nélkül hátramenetbe kapcsolok.,Nagy sebesség mellett a megállást kitéréssel és visszafordulással egyidőben lehet csak végrehajtani.,
19,,A kisgéphajó siklásban …………….. halad.,az orrhullámán,a farhullámán,a testhullámán,
20,,"Ha egy tárgy tulajdonsága, hogy felúszó, az a gyakorlatban mit jelent?","Azt, hogy úszik a vízen, és ha elmerül is a felszínre emelkedik.","Azt, hogy lebeg a vízben, és ha lejjebb nyomják, akkor ott marad.","Azt, hogy úszik a vízen, de ha lenyomják, akkor már folyamatosan süllyed.",
21,,A kishajókon általánosan használt perlon kötelek felúszóak?,Igen.,Nem.,,
22,,Minek alapján van előírva egy kedvtelési célú kishajó kötelező felszerelése?,A hajó hosszának alapján.,A hajó utas befogadó képességének alapján.,"A hajó típusa alapján (motoros, vagy vitorlás kishajó).",
23,,"A kishajókon használt szintetikus kötelek a laza, belógó állapotból hirtelen nagy terhelésű rántásra……..",könnyen elpattanhatnak.,"megfeszülnek, megkeményednek.","egyes elemi szálaik megszakadhatnak, a kötél "" kiszőrösödik"".",
24,,A GPS berendezés kötelező felszerelés e kedvtelési célú kisgéphajón?,Nem.,"Igen, a Szemleszabályzat írja elő.","Igen, a Hajózási Szabályzat írja elő.",
25,,Az elemlámpa kötelező felszerelése a kedvtelési célú kisgéphajónak?,"Igen, vízálló kivitelű, tartalék elemmel és tartalék égővel.","Igen, de a mobiltelefon beépített elemlámpa funkciója is elfogadott.","Nem kötelező felszerelés, csak ajánlott.",
26,,Mit neveznek hajóútnak?,"A víziútnak a nagyhajók közlekedésére kijelölt és kitűzött, ennek hiányában a nagyhajók által az adott vízállásnál rendszeresen használt része, továbbá a veszteglőhely vízterülete, valamint a kikötőhöz tartozó vízterület.","A víziút azon része, amely legalább 150 méter szélességgel és 3 méter mélységgel rendelkezik.","A víziút azon része, amely minimum 2,5 méter vízmélységgel és 88 méter szélességgel rendelkezik.",
27,,Erős oldalszélben hogyan hajózik ?,A szél felőli oldalra folyamatosan ellenkormányozva.,A szél alatti oldal felé folyamatosan ellenkormányozva.,Csak a széllel szemben haladva.,
28,,"Beépített motorral rendelkező hajón mit lehet tenni, ha valami a hajócsavarra tekeredve fékezi azt?","A motor leállítása és áramtalanítása után kikötő öbölben, vagy tavon a vízbe merülve megkísérelhető a hajócsavar kiszabadítása.",Csak a hajó kiemelésével oldható meg a probléma.,"Csak búvár szakember, vagy kiemelés után hozzáértő szerelő végezheti el a hajócsavar kiszabadítását.",
29,,"Ha a hajtómű hirtelen leáll, a motor azonnal újra indítható, de az irányváltót előre, vagy hátra menetbe kapcsolva újra lefullad, milyen hibára következtet?","A hajócsavar forgását akadályozza valami, vagy a hajtási láncban keletkezett meghibásodás.",Elfogyott az üzemanyag,Zárlatos lett a gyújtótrafó.,
30,,"A jogszabály szerint mi számít ""korlátozott látási viszony""-nak?",1000 m-nél kisebb látótávolság.,"Sűrű köd, félhomály, vagy olyan éjszaka, amikor újhold van, vagy felhők takarják a holdat.","Amikor a látás korlátozott a rossz idő miatt (éjszaka, köd, pára, sűrű zápor).",
31,,Hogyan változik a szélnyomás értéke a szél sebességével?,Négyzetesen,Lineárisan,"A szélnyomás 4 BF szélerősségig lineárisan, felette progresszíven növekszik.",
32,,Hogyan hajózik szűk hajóútban találkozáskor?,Csökkentem a sebességet és biztonságos oldaltávolságot tartok.,"Növelem a sebességet, így gyorsabban kikerülök  a veszélyes közlekedési helyzetből.","A völgymenő hajónak annyira le kell csökkentenie a sebességét, hogy még manőver képes maradjon, és el kell engednie a hegymenő hajót.",
33,,Mit jelent a hegymenet a folyami hajózásban?,Hajózás a forrás irányában.,Hajózás a meder felett.,Hajózás a sodrással.,
34,,Folyam kanyarulatban változik-e az egyenes folyamszakaszhoz képest a hordalékképződés?,"Igen, a kanyarulat belső ívén zátony képződik.","Igen, a kanyarulat külső ívén zátony képződik.",Nem befolyásolja a hordalékképződést a kanyarulat.,
35,,Folyó kanyarulatban a folyó mely részén kisebb a sodrás?,A kanyarulat belső ívéhez közel.,A kanyarulat külső ívéhez közel.,Kanyarulatban a víziút közepén.,
36,,A víziút mely részén érdemes folyamon lefelé és hol felfelé hajózni?,"Felfelé a parthoz közeli részén,  lefelé a víziút közepén.","Felfelé a víziút közepén, lefelé a víziút parthoz közeli részén. ",Felfelé és lefelé egyaránt a víziút közepén.,
37,,A sodrás mikor nem változtatja meg a hajó haladási irányát?,Ha a sodrás iránya közel párhuzamos a hajó hossztengelyével.,Fordulási manőver közben.,Ha a hajó közel merőlegesen halad a sodrásra.,
38,,Nagyon alacsony vízállásnál hajózva mire kell ügyelni?,"A hajóúton kívül hajózni ilyenkor veszélyes, alapos helyismeretet igényel.","A hajóútban hajózni ilyenkor veszélyes, alapos helyismeretet igényel.",Ilyenkor siklásban haladni különösen veszélyes.,
39,,Sziget környezetében hol kell folyamon zátonyra számítani?,A sziget alsó és felső végénél.,A sziget két szélén.,,
40,,"Mi történik sűrű hínáros vízben tartósan hajózva külmotoros, vagy Z hajtású hajóval?","A hajócsavar feltekeri a hínárt, csökken a tolóerő, nő a fogyasztás, vagy le is áll a hajtómű.","Nem történik semmi, mert a hajócsavar felaprítja a sűrű hínárt is.","A hajó megáll, mert a tolószárba beakad a hínár.",
41,,"Ha kötél tekeredik a hajócsavarra, a külmotoros hajón, mit kell tenni?","Leállítani a motort, kibillenteni a felső állásba, majd lefejteni a hajócsavarról a kötelet, ha lelehet.","Nem kell semmit tenni, mivel ez nem okoz problémát.","Ha lefulladt is a kötéltől a motor, csak hátramenetbe kell kapcsolni, ekkor ledobja a kötelet a hajtómű.",
42,,"Sekély vízben hajózva külmotoros hajóval, milyen óvintézkedéseket kell tenni?","A sebességet csökkenteni, a trimmelést magasra állítani. ","A sebességet növelni, a trimmelésen nem kell változtatni.","Nem kell semmit tenni, mivel ez nem okoz problémát.",
43,,"Mire kell ügyelni kisgéphajóval a part melletti sekély vízben hajózva, ha nagyhajó halad el mellettünk? ","A nagyhajó szívóhatása miatti vízszint csökkenéskor sérülhet a hajtómű, valamint a farhullámai miatt a part menti mederre csapódhat a hajónk.","Nem kell ügyelni semmire, ez a közlekedési helyzet nem rejt veszélyt magában.","A nagyhajó szívóhatása csak közvetlenül mellette fejti ki hatását, ezért arra nem kell ügyelni, de a farhullám kidobhatja a hajónkat a partra.",
44,,Hol a legnagyobb egy hajó farhulláma?,Kis vízmélységnél.,Nagy vízmélységnél.,Közepes vízmélységnél.,
45,,Mikor legnagyobb egy hajó szívóhatása?,Alacsony vízállásnál.,Magas vízállásnál.,Közepes vízállásnál.,
46,,Miért kell kiemelni a kompozit műgyanta testű hajót a vízből télen?,Mert a jégnyomás összeroppanthatja a hajótestet.,Mert a hajó anyaga különösen érzékeny a hideg időjárásra.,"Mert kötelező, és minden kikötői rend megköveteli.",
47,,"Mit lehet tenni, ha egy kikötő öbölben jégpáncél van kialakulóban és hajó maradt a vízben?","Rendszeresen törni a jeget, hogy egybefüggő jégpáncél ne alakulhasson ki, így csökken a jégnyomás a kikötőben. ","Fűteni kell a hajóban, hogy ne alakulhasson ki a masszív jégpáncél.","Nem kell tenni semmit, minden hajó típus ellenáll a jégnyomásnak.",
48,,"Ha meghibásodik a külmotoros hajó hajtóműve, és evezővel kell kikötni, célszerű-e kiemelni a hajtóművet a vízből?","Igen, mert az álló hajócsavaron ébredő erők fékezik a hajót, nehezítik a haladást.","Nem, mert a motornak leállítás után is szüksége van a hűtő közegre.","Nem, mert csak a külmotorral kormányozható a hajó ilyen esetben.",
49,,Hogyan és mire használható a lékponyva?,"Kötelekkel a hajó alá húzható és rögzíthető, a léket elfedve megakadályozza a vízbetörést.","A hajótest belsejében a lékre ragasztva, vagy ellensúlyokkal leszorítva megakadályozza a vízbetörést","Kötelek segítségével a fedélzetre kifeszíthető, feltűnő színeivel jelzi a többi hajónak, hogy havariát szenvedtünk.",
50,,"Ha kishajót továbbít mellévett alakzatban, romlik e a hajójának manőverező képessége?","Igen, romlik.",Nem befolyásolja a hajó manőverező képességét.,"Ha mindkét oldalon mellévett alakzatban továbbít hajót, akkor nem változik a manőverező képessége.",
51,,"Kishajót továbbít mellévett alakzatban, hogyan változik meg a hajójának manőverező képessége?",A továbbított hajó felé elhúz.,A továbbított hajóval ellentétes oldalra elhúz.,Nem befolyásolja a hajó manőverezhetőségét.,
52,,Hová kell rögzíteni a vontató kötelet a vontatott vitorlás hajón?,Az árboc tövéhez.,Az első bakhoz.,Az orron található korláthoz.,
53,,Mit kell tenni svertes vitorlások vontatásakor?,Fel kell húzni a svertet.,A svertet le kell engedni.,A svertnek közép állásba kell lenni.,
54,,"Ha egy géphajóval egy vontató kötelet kiadva több vitorlást vontat, egymáshoz képest, hogyan haladnak a vitorlások?",Mindegyik vitorlás ugyanabban az irányban kitérve.,Mindegyik vitorlás egy nyomvonalban halad.,Mindegy hogyan halad az előtte haladóhoz képest.,
55,,"Célszerű e horgonyt dobni köves, sziklás mederfenéken?","Nem, mert a horgony beakadhat úgy, hogy nem lehet felszedni.","Igen, mert a köves aljzatban jobban tart a horgony.",Igen a köves aljzat az ideális horgonyzáshoz.,
56,,Célszerű ismerni a mederjellemzőket horgonyzáskor?,"Igen, mert a mederjellemzők nagyban befolyásolják a horgonyzást.","Nem, mert a mederjellemzők nem befolyásolják a horgonyzást.",Csak hosszú időre lehorgonyzáshoz szükséges a mederjellemzők ismerete.,
57,,Hogyan viselkedik a hajótest jobb forgású hajócsavarral hátramenetbe kapcsolva?,A hajó fara bal oldalra kitér,A hajó fara jobb oldalra kitér,A hajó orra bal oldalra kitér,
58,,Vízhez képest álló hajó kitérített kormánylapátján ébred-e kormányerő?,Nem.,Igen.,,
59,,Mikor kell a hajó vezetőjének a hajón tartózkodnia?,"Mindaddig, amíg a hajó menetben van.","Mindaddig, amíg vezet és amíg veszély esetén az utolsó utas is elhagyta a hajót.","Mindaddig, amíg a hajó vízen van.",
60,,Meddig terjed a hajóvezető mentési kötelezettsége más hajók/emberek felé?,"Kötelező menteni az életveszélybe került embereket, de csak a saját és a hajó biztonságával összeegyeztethető mértékben.",Az  életveszélyben lévő embereket a saját és a hajót fenyegető veszély mérlegelése nélkül meg kell kísérelni menteni.,"Ha emberélet nincs veszélyben, akkor nincs mentési kötelezettségünk.",
61,,"Ha a kikötő bejáratában süllyed el hajónk, akkor a sétahajókat üzemeltető cégeket a sétajáratok elsüllyedt hajónk miatti kimaradásából keletkezett károkért ...",felelősséggel tartozunk.,nem tartozunk felelősséggel.,"felelősséggel tartozunk, de csak olyan mértékben, amennyire a tevékenységünk közrejátszott az elsüllyedésben.",
62,,Ki felelős az utasok testi épségéért?,"A hajóvezető, de csak addig a mértékig, amennyire betartják az e körben adott utasításait.",Minden esetben a hajóvezető a felelős.,"Ha a hajóvezető az út elején elmondja a hajón való viselkedés szabályait, és mindenkinek kiosztja a mentőmellényeket, akkor a továbbiakban nem tehető felelőssé az utasokat esetlegesen érő balesetek miatt.",
63,,"Végre kell e hajtani a hajó vezetőjének utasításait, ha Ön csak utas?","Igen, ha azt a hajózás biztonsága vagy a hajó rendjének fenntartása érdekében adta. ","Igen, minden esetben.","Igen, de csak vízből mentés és havaria esetén.",
64,,Miért fontos egy kisgéphajó vízkiszorításának ismerete?,"Mert a hajó kiemeléséhez, illetve szállításához elengedhetetlen információ.",Mert az adott víziúton való közlekedéshez a vízállás és a vízkiszorítás ismerete elengedhetetlen.,Mert a hajó menetben való viselkedése nagyban függ a vízkiszorítástól.,
65,,Található e egy kishajó hajólevelében információ a befogadóképességről?,Igen.,Nem.,,
66,,"A hajólevélben található megengedett befogadó képesség szám, tartalmazza-e a hajó vezetőjét?","Igen, ez a szám az össz befogadó képesség.","Nem, mert a minimális személyzet száma és a befogadó képesség  összege adja az össz befogadó képességet.","Nem, mert a befogadó képesség és a minimális személyzet száma, valamint a hajó vezetője adja az össz befogadó képességet.",
67,,Melyik állítás igaz?,"A hajó üzemképességét a hajózási hatóság a hajólevélben igazolja, melyben feltünteti a lejárat dátumát is.","A svertes kishajóknak nincsen hajólevelük, az üzemképességet a tőkesúlyos hajóknál a hajózási hatóság a hajólevélben igazolja, melyben feltünteti a lejárat dátumát is.","A vitorlás kishajók és vitorlás csónakok üzemképességét a hajózási hatóság a hajólevélben igazolja, a lejárat dátumának feltüntetése mellett.",
68,,Mit jelent a hajó úszóképessége?,A hajótest által kiszorított víz súlya megegyezik a hajó súlyával és a hajó nem merül el teljesen a vízben.,A hajó önerőből képes haladni a vízen.,"A hajó teljes terheléssel sem merül annyira, hogy a mederfeneket érintse.",
69,,Mi az úszóképesség fogalma?,A testre ható felhajtó erő kiegyenlíti a súlyerőt és a test nem merül teljes egészében a folyadékba.,Az úszóképesség az úszni tudásról a hajó vezetőjének adott írásos igazolás.,A testre ható felhajtó erő nem egyenlíti ki a súlyerőt és a test teljes egészében a folyadékba merül.,
70,,"Úszóképes-e az a test, amelyre ugyanakkora felhajtó erő hat mint súlyerő?","Igen, ha a test nem merül teljes egészében a vízbe.","Nem, ez esetben elsüllyed a test.","Igen, az úszóképességhez csak ennek a kritériumnak kell megfelelni.",
71,,Mi a légszekrény?,"Kishajókban, csónakokban kialakított vízmentes rekesz az úszóképesség biztosítására borulás vízbetörés esetére.","A hajózásban az üres nem használt szekrényeknek a neve, az újonnan beszállók pakolhatják bele a személyes dolgaikat.","Egy szekrény méretű kollektív mentőeszköz, az oldalán kapaszkodó zsinórokkal.",
72,,"Minek nevezzük a hajó azon tulajdonságát, hogy a billentő nyomatéknak ellenáll?",Stabilitás,Úszóképesség,Hullámellenállás,
73,,Melyik a stabilitás hajózásban használt meghatározása?,"A hajó azon tulajdonsága, hogy a billentő nyomatéknak ellenáll.",A hajó által kiszorított víz súlya megegyezik a hajó súlyával.,A hajó hullámzó vízen is megfelelő iránytartó képessége.,
74,,Hajók esetében melyik tengelyre vonatkoztatjuk a stabilitás fogalmát?,Hossztengely,Keresztirányú tengely,Függőleges tengely,
75,,Minek nevezzük a hajó nyugalmi és megbillent helyzetének megfelelő felhajtó erők hatásvonalainak metszéspontját?,Metacentrum.,Vízkiszorítás tömegközéppont.,Felhajtóerő támadáspont.,
76,,Igaz-e hogy főként a tőkesúly nélküli hajókra jellemző az alakstabilitás?,Igaz.,Hamis.,,
77,,Igaz-e hogy főként a tőkesúlyos hajók jellemzője az alakstabilitás?,Hamis.,Igaz.,,
78,,Tőkesúlyos hajóknál hogyan biztosítjuk a hajó stabilitását?,A hajó súlypontjának alacsonyabbra helyezésével.,A hajó súlypontjának magasabbra helyezésével.,A hajótest oldal irányú ellaposításával.,
79,,Mi biztosítja alakstabil hajóknál a kellő stabilitást?,A hajótest keresztmetszeti kialakítása biztosítja megdőlés esetén a visszabillentő nyomatékot.,A hajó súlypontjának magasabbra helyezése.,Nagy tömegű tőkesúly alkalmazása.,
80,,Mi a dőlés?,A hajó kereszt irányú kilengését hívjuk így.,A hajó hossz irányú kilengését hívjuk így.,A hajó bármely irányú kilengését hívjuk így.,
81,,Mi a metacentrum?,A nyugalmi és a megdőlt helyzetben ható felhajtóerő hatásvonalainak metszéspontja.,A hajó tömegközéppontja.,A hajó mértani középpontja.,
82,,Mi jellemző a stabil úszáshelyzetre?,A metacentrum a rendszersúlypont felett van.,A metacentrum a rendszersúlypont alatt van.,A metacentrum és a rendszersúlypont egybeesik.,
83,,Mi jellemző a labilis úszáshelyzetre?,A metacentrum a rendszersúlypont alatt van.,A metacentrum a rendszersúlypont felett van.,A metacentrum és a rendszersúlypont egybeesik.,
84,,Mi jellemző a semleges úszáshelyzetre?,A metacentrum és a rendszersúlypont egybeesik.,A metacentrum a rendszersúlypont felett van.,A metacentrum a rendszersúlypont alatt van.,
85,,Mi jellemző a közömbös úszáshelyzetre?,A metacentrum és a rendszersúlypont egybeesik.,A metacentrum a rendszersúlypont felett van.,A metacentrum a rendszersúlypont alatt van.,
86,,Melyik úszási helyzetet látja az ábrán?,Stabil,Közömbös,Labilis,Kep1 Stabil.jpg
87,,Melyik úszási helyzetet látja az ábrán?,Közömbös,Stabil,Labilis,Kep2 Kozombos.jpg
88,,Melyik úszási helyzetet látja az ábrán?,Labilis,Közömbös,Stabil,Kep3 Labilis.jpg
89,,A(z) ........................  működéséhez a kormánylapátot áramló közegbe kell helyezni.,passzív kormány,aktív kormány,orrsugár kormány,
90,,Mitől függ a kormányerő mértéke passzív kormány használatakor?,"A kormánylapát kitérítési szögétől, a kormánylapát méreteitől és az áramló közegnek a kormánylapáthoz viszonyított sebességétől.","A hajó alatti vízmélységtől, a kormány kiegyensúlyozottságától, a hajó parthoz képesti sebességétől.","A kormánylapát kitérítési sebességétől, a hajó merülésétől, a kormánylapát kiegyensúlyozottságától.",
91,,Mi az aktív kormány?,Kormányerő a tolóerő irányának változtatásával keletkezik.,Kormányerő a kormánylapát kitérítésével keletkezik.,"Az aktív kormányt folyamatosan (aktívan) fogni, illetve mozgatni kell.",
92,,Mi a passzív kormány?,Kormányerő a kormánylapát kitérítésével keletkezik.,Kormányerő a tolóerő irányának változtatásával keletkezik.,"A kormányzást nem magunk végezzük, hanem egy kijelölt személy.",
93,,"Melyik hajótípusra jellemzői hogy a legnagyobb sebességét viszonylag kis motorteljesítmény mellet éri el és ennek megfelelően takarékosan üzemel. Erősen hullámzó vízen is kiegyensúlyozottan, simábban halad. ",Vízkiszorításos hajók.,Szárnyas hajók.,Siklóhajók.,
94,,Melyik hajtási lánc sematikus ábráját látja a képen?,"""V"" hajtás.","""Z"" meghajtás.",Egyenes hajtás.,Kep10 V.jpg
95,,Melyik hajtási lánc sematikus ábráját látja a képen?,"""S"" hajtás.","""V"" hajtás.",Egyenes hajtás.,Kep11 S.jpg
96,,Melyik hajtási lánc sematikus ábráját látja a képen?,Egyenes hajtás.,"""Z"" meghajtás.","""S"" hajtás.",Kep12 Egyenes.jpg
97,,Melyik hajtási lánc sematikus ábráját látja a képen?,"""Z"" hajtás.","""V"" hajtás.",Egyenes hajtás.,Kep13 Z.jpg
98,,"Alábbiak közül melyek a fának, mint hajóépítő anyagnak a jellemző tulajdonságai?","Kis fajsúly, jó hang és hőszigetelés, zsugorodik, megdagad a pára hatására.","Kis fajsúly, galvanikus korrózióra hajlamos, nehezen megmunkálható.","Jól ragasztható, felületi kezelést nem igényel, nagy a fajsúlya.",
