Kérdés,Helyes válasz,Rossz válasz,Rossz válasz,
"Milyen előkészületeket kell tenni, kikötés előtt?","Kihelyezni az ütköző ballonokat, előkészíteni a kikötő köteleket.",Értesíteni a vízirendészetet az érkezésünkről.,A kikötő kötélre kötélvég nyolcast kell kötni.,
Miben segít a hajócsavar forgásirányának ismerete?,Segít a manőverezésben.,Segít az előzésben.,Segíti a nagy sebességű kanyarodást.,
Miben segít a hajócsavar forgásirányának ismerete?,Segíti az iránytartást.,Segít az előzésben.,Segíti a nagy sebességű kanyarodást.,
"Hogyan közelíti meg kikötéskor a mólót erős, a part irányából fújó szélben?",Közel merőlegesen.,5 - 10 fokos szögben.,Csúszóra dobott horgonnyal.,
Általában melyik kötél megkötésével kell kezdeni a kikötést?,Az orrkötéllel.,A farkötéllel.,Mindegy,
Milyen haladási sebesség mellett a leghatásosabb az orrsugárkormány?,"Csak kis, a kikötői manőverezéseknél használt sebességeknél.",A hajó teljes sebességtartományában.,Csak nagy sebességeknél.,
Kikötőben ledobott horgonyunkról a többi hajóvezető honnan szerez tudomást?,A horgonyra kötött bójáról.,"Nem kell tudniuk a ledobott horgonyról, mert nem zavarja a kikötőben közlekedőket.","Tilos bóját kötni a horgonyra, érkező, vagy induló hajót szóban kell figyelmeztetni a horgonyra, vagy a kikötőmestert kell tájékoztatni róla.",
"Hogyan dönti el, hogy a kikötő használatához kellő vízmélység van-e?","Az üzemeltető szóbeli, neten/kikötői szabályzatban közzétett tájékoztatása alapján.","A kikötőkben olyan vízmélységet szoktak - ha kell kotrással - fenntartani, ami mellett a behajózás akadálytalan a kedvtelési kishajók számára.","Kétség esetén csáklyával ellenőrzöm a kikötő szája előtt a vízmélységet, és ha a merülésnél kevesebb mint egy méterrel több, akkor nem kísérlem meg a behajózást.",
Idegen kikötőben veszteglés esetén a kikötő üzemeltetője visszatarthatja/elkérheti a hajólevelet?,"A hajólevelet elkérheti, és díjfizetésig visszatarthatja.","A hajólevelet elkérheti, de nem tarthatja vissza.","A hajólevelet csak megnézheti, de nem tarthatja vissza.",
"Szabad-e vitorlás kishajóval, vitorlával a kikötőből ki- és beállni?","Igen, ha a kikötői szabályzat lehetővé teszi.","Nem, erre csak a vízirendészet adhat engedélyt.",Nem.,
Általában melyik kikötő kötél elengedésével kell kezdeni az elindulás manővert?,A farkötél,Az orr kötél,Mindegy,
"Hátramenetben manőverezve, jobbra kitérített kormány mellett, merre fordul a hajó orra?",Balra.,Jobbra.,,
Lehet vitorlás kishajóval csak vitorlával hátramenetben haladni?,Igen.,Nem.,,
Milyen relatív szélirány esetén lehet vitorlával hátramenetben haladni?,"Negyed, vagy annál élesebb szélben.",Félszélben.,"Háromnegyed, vagy annál bővebb szélben.",
"A hajó negyedszélben szélbe futtatva megáll. Melyik oldalra kell a grószt kitéríteni akkor, ha hosszabban kívánunk hátramenetben haladni?",Luv.,Lee.,Mindegy.,
"Ha egy tárgy tulajdonsága, hogy felúszó, az a gyakorlatban mit jelent?","Azt, hogy úszik a vízen, és ha elmerül is a felszínre emelkedik.","Azt, hogy lebeg a vízben, és ha lejjebb nyomják, akkor ott marad.","Azt, hogy úszik a vízen, de ha lenyomják, akkor már folyamatosan süllyed.",
A kishajókon általánosan használt perlon kötelek felúszóak?,Igen.,Nem.,,
Minek alapján van előírva egy kedvtelési célú kishajó kötelező felszerelése?,A hajó hosszának alapján.,A hajó utas befogadó képességének alapján.,"A hajó típusa alapján (motoros, vagy vitorlás kishajó).",
"A kishajókon használt szintetikus kötelek a laza, belógó állapotból hirtelen nagy terhelésű rántásra……..",könnyen elpattanhatnak.,"megfeszülnek, megkeményednek.","egyes elemi szálaik megszakadhatnak, a kötél "" kiszőrösödik"".",
Mit neveznek hajóútnak?,"A víziútnak a nagyhajók közlekedésére kijelölt és kitűzött, ennek hiányában a nagyhajók által az adott vízállásnál rendszeresen használt része, továbbá a veszteglőhely vízterülete, valamint a kikötőhöz tartozó vízterület.","A víziút azon része, amely legalább 150 méter szélességgel és 3 méter mélységgel rendelkezik.","A víziút azon része, amely minimum 2,5 méter vízmélységgel és 88 méter szélességgel rendelkezik.",
"Beépített motorral rendelkező hajón mit lehet tenni, ha valami a hajócsavarra tekeredve fékezi azt?","A motor leállítása és áramtalanítása után kikötő öbölben, vagy tavon a vízbe merülve megkísérelhető a hajócsavar kiszabadítása.",Csak a hajó kiemelésével oldható meg a probléma.,"Csak búvár szakember, vagy kiemelés után hozzáértő szerelő végezheti el a hajócsavar kiszabadítását.",
"Ha a hajtómű hirtelen leáll, a motor azonnal újra indítható, de az irányváltót előre, vagy hátra menetbe kapcsolva újra lefullad, milyen hibára következtet?","A hajócsavar forgását akadályozza valami, vagy a hajtási láncban keletkezett meghibásodás.",Elfogyott az üzemanyag,Zárlatos lett a gyújtótrafó.,
"A jogszabály szerint mi számít ""korlátozott látási viszony""-nak?",1000 m-nél kisebb látótávolság.,"Sűrű köd, félhomály, vagy olyan éjszaka, amikor újhold van, vagy felhők takarják a holdat.","Amikor a látás korlátozott a rossz idő miatt (éjszaka, köd, pára, sűrű zápor).",
Hogyan változik a szélnyomás értéke a szél sebességével?,Négyzetesen,Lineárisan,"A szélnyomás 4 BF szélerősségig lineárisan, felette progresszíven növekszik.",
A vitorlás hajó haladási iránya menetben mindig megegyezik a hossztengely orrirányba való meghosszabbításával?,Nem.,Igen.,,
A viharos erejű szél hogyan befolyásolja a tőkesúlyos hajók műveletképességét?,"Az erős hullámzás, erős dőlés és a nagy szélnyomás miatt a műveletképesség korlátozott.","A műveletképesség nem változik, a hajóval minden manőver ugyanúgy végrehajtható, mint mérsékelt szélben.","A műveletképesség csak azoknál a hajóknál nem csökken le, amelyeknek a hossza kisebb, mint két hullámhegy közötti távolság.",
Miért kell kiemelni a kompozit műgyanta testű hajót a vízből télen?,Mert a jégnyomás összeroppanthatja a hajótestet.,Mert a hajó anyaga különösen érzékeny a hideg időjárásra.,"Mert kötelező, és minden kikötői rend megköveteli.",
"Mit lehet tenni, ha egy kikötő öbölben jégpáncél van kialakulóban és hajó maradt a vízben?","Rendszeresen törni a jeget, hogy egybefüggő jégpáncél ne alakulhasson ki, így csökken a jégnyomás a kikötőben.","Fűteni kell a hajóban, hogy ne alakulhasson ki a masszív jégpáncél.","Nem kell tenni semmit, minden hajó típus ellenáll a jégnyomásnak.",
Mi a sója?,"Hajók vízre rakására, kiemelésére szolgáló ferde rámpa.",Kifújt szélben napsütésben vitorlázás.,A kikötői emelődaru.,
Hogyan és mire használható a lékponyva?,"Kötelekkel a hajó alá húzható és rögzíthető, a léket elfedve megakadályozza a vízbetörést.","A hajótest belsejében a lékre ragasztva, vagy ellensúlyokkal leszorítva megakadályozza a vízbetörést","Kötelek segítségével a fedélzetre kifeszíthető, feltűnő színeivel jelzi a többi hajónak, hogy havariát szenvedtünk.",
"Ha kishajót továbbít mellévett alakzatban, romlik e a hajójának manőverező képessége?","Igen, romlik.",Nem befolyásolja a hajó manőverező képességét.,"Ha mindkét oldalon mellévett alakzatban továbbít hajót, akkor nem változik a manőverező képessége.",
"Kishajót továbbít mellévett alakzatban, hogyan változik meg a hajójának manőverező képessége?",A továbbított hajó felé elhúz.,A továbbított hajóval ellentétes oldalra elhúz.,Nem befolyásolja a hajó manőverezhetőségét.,
Hová kell rögzíteni a vontató kötelet a vontatott vitorlás hajón?,Az árboc tövéhez.,Az első bakhoz.,Az orron található korláthoz.,
Mit kell tenni svertes vitorlások vontatásakor?,Fel kell húzni a svertet.,A svertet le kell engedni.,A svertnek közép állásba kell lenni.,
Svertes kishajónkat kisgéphajó vontatja. Mi a teendőnk?,"Vontatókötelet az árbochoz gyorsan oldhatóan rögzíteni, orrvereten átfűzni, svertet felhúzni, kormányt középállásban rögzíteni.","Vontatókötelet az orrverethez rögzíteni, svertet félig felhúzni, úgy kormányozni, hogy a vontató sodrába ne kerüljünk be.","Vontatókötelet az árbochoz gyorsan oldhatóan rögzíteni, a svertet teljesen leengedni, a kormányt felhúzni.",
"Célszerű e horgonyt dobni köves, sziklás mederfenéken?","Nem, mert a horgony beakadhat úgy, hogy nem lehet felszedni.","Igen, mert a köves aljzatban jobban tart a horgony.",Igen a köves aljzat az ideális horgonyzáshoz.,
Célszerű ismerni a mederjellemzőket horgonyzáskor?,"Igen, mert a mederjellemzők nagyban befolyásolják a horgonyzást.","Nem, mert a mederjellemzők nem befolyásolják a horgonyzást.",Csak hosszú időre lehorgonyzáshoz szükséges a mederjellemzők ismerete.,
Hogyan viselkedik a hajótest jobb forgású hajócsavarral hátramenetbe kapcsolva?,A hajó fara bal oldalra kitér,A hajó fara jobb oldalra kitér,A hajó orra bal oldalra kitér,
"Jobbforgású hajócsavarral szerelt vitorlás fara merre mozdul el oldalirányban, ha álló helyzetében erőteljes gázt adunk röviden előremenetben?",Jobbra.,Balra.,Semerre.,
"Jobbforgású hajócsavarral szerelt vitorlás fara merre mozdul el oldalirányban, ha álló helyzetében erőteljes gázt adunk röviden hátramenetben?",Balra.,Jobbra.,Semerre.,
"Balforgású hajócsavarral szerelt vitorlás fara merre mozdul el oldalirányban, ha álló helyzetében erőteljes gázt adunk röviden előremenetben?",Balra.,Jobbra.,Semerre.,
"Balforgású hajócsavarral szerelt vitorlás fara merre mozdul el oldalirányban, ha álló helyzetében erőteljes gázt adunk röviden hátramenetben?",Jobbra.,Balra.,Semerre.,
Vízhez képest álló hajó kitérített kormánylapátján ébred-e kormányerő?,Nem.,Igen.,,
Mikor kell a hajó vezetőjének a hajón tartózkodnia?,"Mindaddig, amíg a hajó menetben van.","Mindaddig, amíg vezet és amíg veszély esetén az utolsó utas is elhagyta a hajót.","Mindaddig, amíg a hajó vízen van.",
Meddig terjed a hajóvezető mentési kötelezettsége más hajók/emberek felé?,"Kötelező menteni az életveszélybe került embereket, de csak a saját és a hajó biztonságával összeegyeztethető mértékben.",Az  életveszélyben lévő embereket a saját és a hajót fenyegető veszély mérlegelése nélkül meg kell kísérelni menteni.,"Ha emberélet nincs veszélyben, akkor nincs mentési kötelezettségünk.",
"Ha a kikötő bejáratában süllyed el hajónk, akkor a sétahajókat üzemeltető cégeket a sétajáratok elsüllyedt hajónk miatti kimaradásából keletkezett károkért ...",felelősséggel tartozunk.,nem tartozunk felelősséggel.,"felelősséggel tartozunk, de csak olyan mértékben, amennyire a tevékenységünk közrejátszott az elsüllyedésben.",
Ki felelős az utasok testi épségéért?,"A hajóvezető, de csak addig a mértékig, amennyire betartják az e körben adott utasításait.",Minden esetben a hajóvezető a felelős.,"Ha a hajóvezető az út elején elmondja a hajón való viselkedés szabályait, és mindenkinek kiosztja a mentőmellényeket, akkor a továbbiakban nem tehető felelőssé az utasokat esetlegesen érő balesetek miatt.",
"Végre kell e hajtani a hajó vezetőjének utasításait, ha Ön csak utas?","Igen, ha azt a hajózás biztonsága vagy a hajó rendjének fenntartása érdekében adta.","Igen, minden esetben.","Igen, de csak vízből mentés és havaria esetén.",
Miért fontos egy kisgéphajó vízkiszorításának ismerete?,"Mert a hajó kiemeléséhez, illetve szállításához elengedhetetlen információ.",Mert az adott víziúton való közlekedéshez a vízállás és a vízkiszorítás ismerete elengedhetetlen.,Mert a hajó menetben való viselkedése nagyban függ a vízkiszorítástól.,
Található e egy kishajó hajólevelében információ a befogadóképességről?,Igen.,Nem.,,
"A hajólevélben található megengedett befogadó képesség szám, tartalmazza-e a hajó vezetőjét?","Igen, ez a szám az össz befogadó képesség.","Nem, mert a minimális személyzet száma és a befogadó képesség  összege adja az össz befogadó képességet.","Nem, mert a befogadó képesség és a minimális személyzet száma, valamint a hajó vezetője adja az össz befogadó képességet.",
Melyik állítás igaz?,"A hajó üzemképességét a hajózási hatóság a hajólevélben igazolja, melyben feltünteti a lejárat dátumát is.","A svertes kishajóknak nincsen hajólevelük, az üzemképességet a tőkesúlyos hajóknál a hajózási hatóság a hajólevélben igazolja, melyben feltünteti a lejárat dátumát is.","A vitorlás kishajók és vitorlás csónakok üzemképességét a hajózási hatóság a hajólevélben igazolja, a lejárat dátumának feltüntetése mellett.",
Kell-e felelősség biztosítást kötni a kedvtelési célú kishajókra?,Nem.,Igen.,Csak tőkesúlyos hajókra.,
Mit jelent a hajó úszóképessége?,A hajótest által kiszorított víz súlya megegyezik a hajó súlyával és a hajó nem merül el teljesen a vízben.,A hajó önerőből képes haladni a vízen.,"A hajó teljes terheléssel sem merül annyira, hogy a mederfeneket érintse.",
Mi az úszóképesség fogalma?,A testre ható felhajtó erő kiegyenlíti a súlyerőt és a test nem merül teljes egészében a folyadékba.,Az úszóképesség az úszni tudásról a hajó vezetőjének adott írásos igazolás.,A testre ható felhajtó erő nem egyenlíti ki a súlyerőt és a test teljes egészében a folyadékba merül.,
"Úszóképes-e az a test, amelyre ugyanakkora felhajtó erő hat mint súlyerő?","Igen, ha a test nem merül teljes egészében a vízbe.","Nem, ez esetben elsüllyed a test.","Igen, az úszóképességhez csak ennek a kritériumnak kell megfelelni.",
Mi a légszekrény?,"Kishajókban, csónakokban kialakított vízmentes rekesz az úszóképesség biztosítására borulás vízbetörés esetére.","A hajózásban az üres nem használt szekrényeknek a neve, az újonnan beszállók pakolhatják bele a személyes dolgaikat.","Egy szekrény méretű kollektív mentőeszköz, az oldalán kapaszkodó zsinórokkal.",
"Minek nevezzük a hajó azon tulajdonságát, hogy a billentő nyomatéknak ellenáll?",Stabilitás,Úszóképesség,Hullámellenállás,
Melyik a stabilitás hajózásban használt meghatározása?,"A hajó azon tulajdonsága, hogy a billentő nyomatéknak ellenáll.",A hajó által kiszorított víz súlya megegyezik a hajó súlyával.,A hajó hullámzó vízen is megfelelő iránytartó képessége.,
Hajók esetében melyik tengelyre vonatkoztatjuk a stabilitás fogalmát?,Hossztengely,Keresztirányú tengely,Függőleges tengely,
Minek nevezzük a hajó nyugalmi és megbillent helyzetének megfelelő felhajtó erők hatásvonalainak metszéspontját?,Metacentrum.,Vízkiszorítás tömegközéppont.,Felhajtóerő támadáspont.,
Igaz-e hogy főként a tőkesúly nélküli hajókra jellemző az alakstabilitás?,Igaz.,Hamis.,,
Igaz-e hogy főként a tőkesúlyos hajók jellemzője az alakstabilitás?,Hamis.,Igaz.,,
Tőkesúlyos hajóknál hogyan biztosítjuk a hajó stabilitását?,A hajó súlypontjának alacsonyabbra helyezésével.,A hajó súlypontjának magasabbra helyezésével.,A hajótest oldal irányú ellaposításával.,
Mi biztosítja alakstabil hajóknál a kellő stabilitást?,A hajótest keresztmetszeti kialakítása biztosítja megdőlés esetén a visszabillentő nyomatékot.,A hajó súlypontjának magasabbra helyezése.,Nagy tömegű tőkesúly alkalmazása.,
Mi a dőlés?,A hajó kereszt irányú kilengését hívjuk így.,A hajó hossz irányú kilengését hívjuk így.,A hajó bármely irányú kilengését hívjuk így.,
Mi a metacentrum?,A nyugalmi és a megdőlt helyzetben ható felhajtóerő hatásvonalainak metszéspontja.,A hajó tömegközéppontja.,A hajó mértani középpontja.,
Mi jellemző a stabil úszáshelyzetre?,A metacentrum a rendszersúlypont felett van.,A metacentrum a rendszersúlypont alatt van.,A metacentrum és a rendszersúlypont egybeesik.,
Mi jellemző a labilis úszáshelyzetre?,A metacentrum a rendszersúlypont alatt van.,A metacentrum a rendszersúlypont felett van.,A metacentrum és a rendszersúlypont egybeesik.,
Mi jellemző a semleges úszáshelyzetre?,A metacentrum és a rendszersúlypont egybeesik.,A metacentrum a rendszersúlypont felett van.,A metacentrum a rendszersúlypont alatt van.,
Mi jellemző a közömbös úszáshelyzetre?,A metacentrum és a rendszersúlypont egybeesik.,A metacentrum a rendszersúlypont felett van.,A metacentrum a rendszersúlypont alatt van.,
Melyik úszási helyzetet látja az ábrán?,Stabil,Közömbös,Labilis,Kep1 Stabil.jpg
Melyik úszási helyzetet látja az ábrán?,Közömbös,Stabil,Labilis,Kep2 Kozombos.jpg
Melyik úszási helyzetet látja az ábrán?,Labilis,Közömbös,Stabil,Kep3 Labilis.jpg
A(z) ........................  működéséhez a kormánylapátot áramló közegbe kell helyezni.,passzív kormány,aktív kormány,orrsugár kormány,
Mitől függ a kormányerő mértéke passzív kormány használatakor?,"A kormánylapát kitérítési szögétől, a kormánylapát méreteitől és az áramló közegnek a kormánylapáthoz viszonyított sebességétől.","A hajó alatti vízmélységtől, a kormány kiegyensúlyozottságától, a hajó parthoz képesti sebességétől.","A kormánylapát kitérítési sebességétől, a hajó merülésétől, a kormánylapát kiegyensúlyozottságától.",
Mi az aktív kormány?,Kormányerő a tolóerő irányának változtatásával keletkezik.,Kormányerő a kormánylapát kitérítésével keletkezik.,"Az aktív kormányt folyamatosan (aktívan) fogni, illetve mozgatni kell.",
Mi a passzív kormány?,Kormányerő a kormánylapát kitérítésével keletkezik.,Kormányerő a tolóerő irányának változtatásával keletkezik.,"A kormányzást nem magunk végezzük, hanem egy kijelölt személy.",
Általánosan milyen rendszerű kormányzást alkalmaznak vitorlás hajókon?,Passzív kormány.,Aktív kormány.,,
"Alábbiak közül melyek a fának, mint hajóépítő anyagnak a jellemző tulajdonságai?","Kis fajsúly, jó hang és hőszigetelés, zsugorodik, megdagad a pára hatására.","Kis fajsúly, galvanikus korrózióra hajlamos, nehezen megmunkálható.","Jól ragasztható, felületi kezelést nem igényel, nagy a fajsúlya.",
"Alábbiak közül melyek az alumíniumnak,  mint hajóépítő anyagnak a jellemző tulajdonságai?","Költséges alapanyag, könnyű szerkezeti súly, galvanikus korrózióra hajlamos.","Viszonylag nagy fajsúly, nem hegeszthető, jó hangszigetelő.","Korrózió ellen felületkezeléssel védeni kell, pára hatására dagad, zsugorodik, kis fajsúlyú.",
"Alábbiak közül melyek az acélnak,  mint hajóépítő anyagnak a jellemző tulajdonságai?","Korróziógátlást igényel, rendkívül szilárd, nagy méretű hajók építésére alkalmas.","Nem korrodál, alacsony kopásállóságú, nagy a fajsúlya.","Könnyű, rugalmas, jól alakítható, jó hő- és hangszigetelő.",
A felületkezeletlen alumíniumból készült hajótest ...,csak a galvanikus korrózióra hajlamos.,egyáltalán nem korrodálódik.,csak tengervízben korrodálódik.,
Az alábbiak közül melyek lehetnek a hajók merevítő vázszerkezetének elemei?,"Bordák, hossz bordák, gerinc","Gerinc, medersor, oldalpalánkozás","Bordázat, fartükör, orrtőke, fedélzeti palánkozás",
"Mit jellemezhetnek az alábbi kifejezések: karvell, klinker, diagonál?",A hajótest oldalpalánkozásának módját.,Az orrtőke és fartőke bekötési módjait.,A hajó belső merevítő bordázatának rendszerét.,
Melyik palánkozási módozatot látja az ábrán?,Karvell,Klinker,Diagonál,Kep4 Karvel.jpg
Melyik palánkozási módozatot látja az ábrán?,Klinker,Karvell,Diagonál,Kep5 Klinker.jpg
Melyik palánkozási módozatot látja az ábrán?,Diagonál,Klinker,Karvell,Kep6 Diagonal.jpg
"A katamarán, trimarán kifejezések mit jelölnek?",Egyes hajótípusok kettő illetve három testű kialakítását.,A legénység kötelező létszámát jelölik.,A kormányzásnál használt kormánylapátok számát jelölik ezek a kifejezések.,
Mi a kokpit?,A hajó fedélzetébe süllyesztett munkatér.,"A hajótest és a fedélzet által közrefogott zárt tér, amely mérete szerint dolgok tárolására, vagy akár alvásra is használható.",A hajó fedélzetéről nyíló tároló rekesz.,
Milyen célra szolgál a bimini.,"A kajüt lejáratot és a kokpitot védi az esőtől, naptól.",Gyenge szélben lehetővé teszi a gyors irányváltást.,Erős szélben a vitorlafelületet csökkenti.,
Mit nevezünk deck-nek?,A fedélzetet.,A munkateret.,A lakóteret.,
Mit nevezünk kokpit-nak?,A munkateret.,A lakóteret.,A fedélzetet.,
Mit nevezünk kajüt-nek?,A lakóteret.,A fedélzetet.,A munkateret.,
Hogyan nevezhetjük a hajó fedélzetét más szóval?,Deck.,Kajüt.,Kokpit.,
Hogy hívjuk a hajó munkaterét?,Kokpit.,Deck.,Kajüt.,
Hogy hívjuk a hajó lakóterét?,Kajüt.,Kokpit.,Deck.,
Mit nevezünk denevérnek?,A grósz felület növelésére szolgáló latnival merevített részét.,A orrkilépőt.,A nagyvitorla reffsorát.,
Mi a fux?,A hajóorrban lévő kabin.,A hajó farában lévő kabin.,A hajó közepében kialakított társalgó.,
Mi a trepni?,Padlódeszka.,Fedélzeti ablak.,Árboctalp veret.,
"Igaz e, hogy a hagyományos hajóépítésnél először a merevítő vázszerkezet kerül kialakításra, majd a külhéj csak ez után épül rá erre?",Igaz.,Hamis.,,
"Igaz e, hogy a hagyományos hajóépítésnél először a külhéj készül el, majd ezután következik ennek a merevítése bordák segítségével?",Hamis.,Igaz.,,
Mit nevezünk kompozit alapanyagnak?,Több fajta eltérő jellegű anyag együttes alkalmazása azok hasznos tulajdonságainak ötvözése érdekében.,A teljesen vízzáró és UV sugárzás álló anyagokat nevezzük kompozitoknak.,A több fajta fém alapanyag hegesztett szerkezetét nevezzük kompozitnak.,
"Mi a szerepe a műgyanta-kompozit alapanyag alkalmazásakor az üvegszál, szénszál vagy egyéb szálanyagok alkalmazásának?","Ezek biztosítják a kompozit szerkezet merevségét, szilárdságát, rugalmasságát.","Elsősorban térkitöltő, sűrűségnövelő, szigetelő hatásuk van.","Elsősorban azt biztosítják, hogy a hajótest teljesen vízzáróvá váljon.",
"Mi a szerepe a műgyanta-kompozit hajóépítő alapanyagoknál a poliészter, epoxy anyagok alkalmazásának?","Ezek végzik a szálanyagok közötti tér kitöltését, a szálak összekötését, és a hajótest vízhatlanságának biztosítását is.","A kompozit szilárdságát, rugalmasságát biztosítja.",A kompozit szerkezetben a műgyanta a szerkezet fajsúlyának beállítását szolgálja.,
A szálanyag + gyanta kompozitból készült hajók építési módszere:,"vagy pozitív, vagy negatív mintára építik a hajótestet, a kompozit rétegenkénti laminálásával.","a hajótestet a gerinc és többi hosszmerevítő, majd a bordázat felépítésével kezdik, majd vázra hordják fel a kompozit anyagot.","a hajótestet keresztirányban több részre bontják, az egyes darabokat külön-külön laminálják, és a folyamat végén összeragasztják.",
"Minek nevezzük a legnagyobb merülés síkja és az azzal párhuzamos olyan sík között függőlegesen mért távolságot, amely felett a hajót nem lehet vízmentesnek tekinteni?",Biztonsági távolság.,Szabad oldal magasság.,Merülés.,
"A legnagyobb hossz (LOA) – az úszólétesítmény legnagyobb hossza méterben, beleértve a kormányberendezést, a propulziós művet, a gépészeti és egyéb szerkezeteket?",Igaz.,Hamis.,,
A legnagyobb hossz (LOA) – a hajótest legnagyobb hossza a kormány és a kígyófej nélkül ?,Hamis.,Igaz.,,
Az alábbiak közül melyik a hajó hosszának (L) meghatározása?,A hajótest legnagyobb hossza a kormány és a kígyófej nélkül.,"Az úszólétesítmény legnagyobb hossza méterben, beleértve a kormányberendezést, a propulziós művet, a gépészeti és egyéb szerkezeteket.",A hajótest vízvonalon mért hossza.,
Mit értünk a kishajó hosszán?,A hajótest legnagyobb hossza a kormányberendezés és propulziós mű nélkül.,"Az kishajó legnagyobb hossza méterben, beleértve a kormányberendezést, a propulziós művet, a gépészeti és egyéb szerkezeteket.",A hajótest legnagyobb merülés síkjában mért hossza.,
Mit értünk a kishajó vízvonalhosszán?,A hajótest legnagyobb merülés síkjában mért hossza.,A hajótest legnagyobb hossza a kormányberendezés és propulziós mű nélkül.,"Az kishajó legnagyobb hossza méterben, beleértve a kormányberendezést, a propulziós művet, a gépészeti és egyéb szerkezeteket.",
Mit értünk a kishajó oldalmagasságán?,A hajótest vagy a gerinc legalsó pontja és a fedélzet legalsó pontja között a hajó oldalán mért legrövidebb függőleges távolság.,Az oldalmagasságnak az oldalmagasság helyén mért merüléssel csökkentett értéke.,"A legnagyobb merülés síkja és az azzal párhuzamos olyan sík között függőlegesen mért távolság, amely felett a hajót nem lehet vízmentesnek tekinteni.",
Mit értünk a kishajó szabad oldalmagasságán?,Az oldalmagasságnak az oldalmagasság helyén mért merüléssel csökkentett értéke.,"A legnagyobb merülés síkja és az azzal párhuzamos olyan sík között függőlegesen mért távolság, amely felett a hajót nem lehet vízmentesnek tekinteni.",A hajótest vagy a gerinc legalsó pontja és a fedélzet legalsó pontja között a hajó oldalán mért legrövidebb függőleges távolság.,
